DATE,Gyunglak_PRCE,예측가격
2016-02-12,2390.6,2668.329270318151
2016-02-17,2167.7,2661.360473868251
2016-02-22,2719.1,2654.1374476194387
2016-02-24,2328.7,2646.3230229258543
2016-03-03,2543.4,2629.7097338914873
2016-02-29,2164.5,2645.3813093513254
2016-02-26,2320.6,2661.211609271169
2016-02-23,2736.2,2638.3871865868573
2016-03-02,2366.6,2612.520512863994
2016-03-04,2176.3,2621.823776859045
2016-02-25,2501.5,2623.8694084197286
2016-03-18,2388.0,2582.775819721818
2016-03-08,2362.4,2604.326193451882
2016-03-10,2136.9,2589.8629345268014
2016-03-15,2217.6,2571.7348998844627
2016-03-17,2174.4,2594.4226378023627
2016-03-14,2135.2,2623.9272142827513
2016-03-07,2362.6,2620.1943861782556
2016-03-09,2156.7,2614.2939348757272
